,Name,Stocktype,Mileage_(Miles),Price,Ext_color,Int_color,Transmission,Body_style,Model_Year,Car_Age_Year,Car_Make,Car_Model,Car_Trim
936,2006 Scion tC,Used,"106,628 mi.",6250,Blue,Gray,Automatic,Coupe,2006-01-01,14.47,Scion,tC,tC
937,2013 Honda Crosstour EX-L,Used,"76,376 mi.",11995,Black,Other,Automatic,Wagon,2013-01-01,7.46,Honda,Crosstour,EX-L
938,2011 BMW 328 i,Used,"61,819 mi.",12599,Red,Black,Automatic,Sedan,2011-01-01,9.47,BMW,328,i
939,2012 Lexus ES 350 Base,Used,"87,031 mi.",12900,Beige,Other,Automatic,Sedan,2012-01-01,8.47,Lexus,ES,Base
940,2009 Honda Civic EX-L,Used,"62,806 mi.",10999,Gray,Gray,Automatic,Sedan,2009-01-01,11.47,Honda,Civic,EX-L
941,2014 Toyota Corolla S Plus,Used,"69,000 mi.",9750,Black,Black,Automatic,Sedan,2014-01-01,6.46,Toyota,Corolla,Plus
942,2015 Dodge Journey SXT,Used,"88,784 mi.",11888,White,Black,Automatic,SUV,2015-01-01,5.46,Dodge,Journey,SXT
943,2002 Toyota Sequoia SR5,Used,"118,531 mi.",12995,Silver,Gray,Automatic,SUV,2002-01-01,18.47,Toyota,Sequoia,SR5
944,2013 Chevrolet Volt Base,Used,"49,079 mi.",11460,White,Black,Automatic,Hatchback,2013-01-01,7.46,Chevrolet,Volt,Base
945,2012 Honda Accord EX-L,Used,"78,597 mi.",11888,White,White,Automatic,Sedan,2012-01-01,8.47,Honda,Accord,EX-L
946,2016 Jeep Renegade Latitude,Used,"48,461 mi.",14500,Green,Black,Manual,SUV,2016-01-01,4.46,Jeep,Renegade,Latitude
947,2014 Honda Civic LX,Used,"56,388 mi.",12888,Other,Black,CVT,Sedan,2014-01-01,6.46,Honda,Civic,LX
948,2017 Volkswagen Jetta 1.4T S,Used,"56,357 mi.",12460,White,Black,Automatic,Sedan,2017-01-01,3.46,Volkswagen,Jetta,S
949,2016 Ford Fusion SE,Used,"27,040 mi.",13460,Black,Black,Automatic,Sedan,2016-01-01,4.46,Ford,Fusion,SE
950,2015 Chevrolet Traverse 1LT,Used,"104,089 mi.",14888,Other,Other,Automatic,SUV,2015-01-01,5.46,Chevrolet,Traverse,1LT
951,2010 BMW 335 i,Used,"81,900 mi.",12990,Black,Black,Automatic,Coupe,2010-01-01,10.47,BMW,335,i
952,2016 Mitsubishi Lancer SE,Used,"20,678 mi.",14922,Gray,Black,CVT,Sedan,2016-01-01,4.46,Mitsubishi,Lancer,SE
953,2012 Kia Optima SX,Used,"69,000 mi.",9495,Gray,Black,Automatic,Sedan,2012-01-01,8.47,Kia,Optima,SX
954,2014 Mazda Mazda3 i Grand Touring,Used,"94,894 mi.",9845,White,Black,Automatic,Sedan,2014-01-01,6.46,Mazda,Mazda3,Touring
955,2013 Volkswagen Beetle 2.5 PZEV,Used,"101,374 mi.",8495,Other,Black,Manual,Hatchback,2013-01-01,7.46,Volkswagen,Beetle,PZEV
956,1984 BMW 325 e,Used,"65,052 mi.",11995,White,Beige,Manual,Sedan,1984-01-01,36.48,BMW,325,e
957,2007 Pontiac Solstice,Used,"113,108 mi.",8995,Black,Black,Manual,Convertible,2007-01-01,13.47,Pontiac,Solstice,Solstice
958,2014 Volkswagen Passat 2.0L TDI SE,Used,"37,117 mi.",11958,Gray,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,SE
959,2012 Honda Crosstour EX-L,Used,"103,777 mi.",11990,Black,Black,Automatic,Wagon,2012-01-01,8.47,Honda,Crosstour,EX-L
960,2013 Volkswagen Passat 2.0 TDI SE,Used,"38,660 mi.",10985,Gray,Black,Automatic,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
961,2016 Volkswagen e-Golf SE,Used,"18,063 mi.",13996,White,Black,Automatic,Hatchback,2016-01-01,4.46,Volkswagen,e-Golf,SE
962,2014 FIAT 500L Easy,Used,"65,963 mi.",8995,White,Other,Automatic,Hatchback,2014-01-01,6.46,FIAT,500L,Easy
963,2017 Volkswagen Passat 1.8T SE,Used,"29,133 mi.",14971,Gray,Black,Automatic,Sedan,2017-01-01,3.46,Volkswagen,Passat,SE
964,2012 Volkswagen Passat 2.0 TDI SEL Premium,Used,"61,313 mi.",8991,Blue,Beige,Automatic,Sedan,2012-01-01,8.47,Volkswagen,Passat,Premium
965,2017 Kia Soul Base,Used,"90,448 mi.",8995,Silver,Other,Manual,Hatchback,2017-01-01,3.46,Kia,Soul,Base
966,2015 Chevrolet Impala 1LS,Used,"89,168 mi.",10990,Gray,Black,Automatic,Sedan,2015-01-01,5.46,Chevrolet,Impala,1LS
967,2017 Dodge Grand Caravan SE,Used,"93,801 mi.",9800,Silver,Black,Automatic,Minivan,2017-01-01,3.46,Dodge,Grand,SE
968,2015 Kia Soul +,Used,"47,828 mi.",11990,Brown,Black,Automatic,Wagon,2015-01-01,5.46,Kia,Soul,+
969,2011 Hyundai Santa Fe GLS,Used,"64,258 mi.",9995,Silver,Gray,Automatic,SUV,2011-01-01,9.47,Hyundai,Santa,GLS
970,2016 Chevrolet Cruze Limited LS,Used,"107,137 mi.",6894,Silver,Black,Automatic,Sedan,2016-01-01,4.46,Chevrolet,Cruze,LS
971,2013 INFINITI JX35 Base,Used,"108,737 mi.",14486,White,Gray,CVT,SUV,2013-01-01,7.46,INFINITI,JX35,Base
972,2011 Honda Accord EX-L,Used,"113,911 mi.",9991,Black,Black,Automatic,Coupe,2011-01-01,9.47,Honda,Accord,EX-L
973,2010 Nissan Altima Hybrid,Used,"88,169 mi.",9599,Blue,Black,CVT,Sedan,2010-01-01,10.47,Nissan,Altima,Hybrid
974,2014 Jeep Patriot Sport,Used,"58,010 mi.",11503,Gray,Gray,Manual,SUV,2014-01-01,6.46,Jeep,Patriot,Sport
975,2006 Ford Mustang GT Premium,Used,"27,616 mi.",13500,Gray,Gray,Automatic,Convertible,2006-01-01,14.47,Ford,Mustang,Premium
976,2019 Volkswagen Jetta 1.4T S,Used,"12,977 mi.",14997,Black,Black,Automatic,Sedan,2019-01-01,1.46,Volkswagen,Jetta,S
977,2018 Ford Taurus Limited,Used,"39,349 mi.",14700,White,Black,Automatic,Sedan,2018-01-01,2.46,Ford,Taurus,Limited
978,2008 Toyota Camry Hybrid,Used,"129,235 mi.",7997,Red,Gray,CVT,Sedan,2008-01-01,12.47,Toyota,Camry,Hybrid
979,2016 Dodge Dart SE,Used,"28,126 mi.",10995,White,Black,Manual,Sedan,2016-01-01,4.46,Dodge,Dart,SE
980,2019 Hyundai Veloster 2.0,Used,"25,792 mi.",13988,Silver,Black,Automatic,Hatchback,2019-01-01,1.46,Hyundai,Veloster,2.0
981,2016 Chrysler 200 Limited,Used,"30,775 mi.",11430,Silver,Black,Automatic,Sedan,2016-01-01,4.46,Chrysler,200,Limited
982,2016 Nissan Sentra SR,Used,"36,190 mi.",12984,White,Gray,CVT,Sedan,2016-01-01,4.46,Nissan,Sentra,SR
983,2014 Toyota Camry Hybrid XLE,Used,"76,725 mi.",13984,Green,Other,CVT,Sedan,2014-01-01,6.46,Toyota,Camry,XLE
984,2013 Volkswagen Beetle 2.5L,Used,"49,291 mi.",13687,Black,Beige,Automatic,Convertible,2013-01-01,7.46,Volkswagen,Beetle,2.5L
985,2013 Dodge Charger SE,Used,"49,585 mi.",11497,Black,Black,Automatic,Sedan,2013-01-01,7.46,Dodge,Charger,SE
986,2013 Nissan Xterra S,Used,"82,759 mi.",12780,Silver,Gray,Automatic,SUV,2013-01-01,7.46,Nissan,Xterra,S
987,2013 BMW X3 xDrive28i,Used,"110,434 mi.",12990,Beige,Beige,Automatic,SUV,2013-01-01,7.46,BMW,X3,xDrive28i
988,2015 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,Used,"40,677 mi.",10990,Black,Beige,Automatic,Sedan,2015-01-01,5.46,Volkswagen,Passat,w/Sunroof
989,2015 Volkswagen Golf DSG TDI S,Used,"15,318 mi.",14990,Red,Black,Automatic,Hatchback,2015-01-01,5.46,Volkswagen,Golf,S
990,2014 Volkswagen Passat 2.0L TDI DSG SEL Premium,Used,"59,492 mi.",10990,Red,Beige,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,Premium
991,2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,Volkswagen Certified,"58,345 mi.",11990,Silver,Black,Manual,Sedan,2014-01-01,6.46,Volkswagen,Passat,w/Sunroof
992,2010 Mercury Mariner Premier,Used,"197,049 mi.",4000,White,Other,Automatic,SUV,2010-01-01,10.47,Mercury,Mariner,Premier
993,2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,Volkswagen Certified,"71,103 mi.",9990,Red,Black,Manual,Sedan,2014-01-01,6.46,Volkswagen,Passat,w/Sunroof
994,2017 Volkswagen Jetta 1.4T S,Volkswagen Certified,"23,339 mi.",11990,Black,Black,Automatic,Sedan,2017-01-01,3.46,Volkswagen,Jetta,S
995,2015 Volkswagen Jetta Auto SE PZEV,Used,"105,033 mi.",6990,Red,Black,Automatic,Sedan,2015-01-01,5.46,Volkswagen,Jetta,PZEV
996,2014 Volkswagen Jetta DSG TDI w/Premium,Used,"40,738 mi.",11990,Silver,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Jetta,w/Premium
997,2013 Ford Fusion Titanium,Used,"85,936 mi.",13998,Gray,Black,Automatic,Sedan,2013-01-01,7.46,Ford,Fusion,Titanium
998,2018 Ford Focus Titanium,Used,"43,163 mi.",13890,Blue,Other,Automatic,Hatchback,2018-01-01,2.46,Ford,Focus,Titanium
999,2015 Nissan Altima 2.5 S,Used,"59,429 mi.",11998,Red,Black,CVT,Sedan,2015-01-01,5.46,Nissan,Altima,S
1000,2012 GMC Savana 2500 Work Van,Used,"105,826 mi.",11991,White,Beige,Automatic,Cargo Van,2012-01-01,8.47,GMC,Savana,Van
1001,2008 Jeep Patriot Sport,Used,"99,501 mi.",5995,Silver,Black,Manual,SUV,2008-01-01,12.47,Jeep,Patriot,Sport
1002,1997 BMW 528 i,Used,"167,221 mi.",2995,White,Gray,Automatic,Sedan,1997-01-01,23.47,BMW,528,i
1003,2016 Ford Focus SE,Used,"33,701 mi.",12011,Black,Black,Automatic,Sedan,2016-01-01,4.46,Ford,Focus,SE
1004,2012 Mazda Mazda5 Grand Touring,Used,"110,333 mi.",7995,Silver,Black,Automatic,Wagon,2012-01-01,8.47,Mazda,Mazda5,Touring
1005,2019 Volkswagen Jetta 1.4T S,Used,"13,922 mi.",14549,Blue,Black,Automatic,Sedan,2019-01-01,1.46,Volkswagen,Jetta,S
1006,2018 Kia Forte LX,Used,"43,755 mi.",12537,Black,Black,Automatic,Sedan,2018-01-01,2.46,Kia,Forte,LX
1007,2017 Ford Taurus SEL,Used,"44,666 mi.",14600,Gray,Beige,Automatic,Sedan,2017-01-01,3.46,Ford,Taurus,SEL
1008,2012 Chevrolet Captiva Sport 2LS,Used,"83,456 mi.",8588,Gray,Black,Automatic,SUV,2012-01-01,8.47,Chevrolet,Captiva,2LS
1009,2019 Kia Optima LX,Used,"35,753 mi.",14792,Blue,Black,Automatic,Sedan,2019-01-01,1.46,Kia,Optima,LX
1010,2010 Kia Rio LX,Used,"114,536 mi.",6988,White,Gray,Automatic,Sedan,2010-01-01,10.47,Kia,Rio,LX
1011,2010 Ford Edge SEL,Used,"138,302 mi.",6995,Red,Gray,Automatic,SUV,2010-01-01,10.47,Ford,Edge,SEL
1012,2018 Chevrolet Malibu LT,Used,"60,083 mi.",12536,White,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Malibu,LT
1013,2019 Kia Optima LX,Used,"46,629 mi.",14395,Red,Black,Automatic,Sedan,2019-01-01,1.46,Kia,Optima,LX
1014,2002 Audi A4 1.8T quattro,Used,"106,000 mi.",4200,Black,Black,Automatic,Sedan,2002-01-01,18.47,Audi,A4,quattro
1015,2008 Scion tC,Used,"90,091 mi.",6995,Purple,Black,Automatic,Coupe,2008-01-01,12.47,Scion,tC,tC
1016,2019 Kia Optima LX,Used,"31,665 mi.",14798,Silver,Black,Automatic,Sedan,2019-01-01,1.46,Kia,Optima,LX
1017,1999 Nissan Maxima GLE,Used,"211,294 mi.",4488,Black,Black,Automatic,Sedan,1999-01-01,21.47,Nissan,Maxima,GLE
1018,2019 Hyundai Elantra SEL,Used,"25,969 mi.",13983,Gray,Black,Automatic,Sedan,2019-01-01,1.46,Hyundai,Elantra,SEL
1019,2019 Kia Optima LX,Used,"27,371 mi.",14987,Blue,Black,Automatic,Sedan,2019-01-01,1.46,Kia,Optima,LX
1020,2012 Chevrolet Avalanche 1500 LT,Used,"161,670 mi.",13988,Blue,Black,Automatic,Crew Cab Pickup,2012-01-01,8.47,Chevrolet,Avalanche,LT
1021,2019 Kia Optima LX,Used,"41,064 mi.",14597,White,Black,Automatic,Sedan,2019-01-01,1.46,Kia,Optima,LX
1022,2012 GMC Terrain SLT-1,Used,"151,097 mi.",8688,White,Gray,Automatic,SUV,2012-01-01,8.47,GMC,Terrain,SLT-1
1023,2011 Ford Edge SEL,Used,"124,474 mi.",8988,Black,Black,Automatic,SUV,2011-01-01,9.47,Ford,Edge,SEL
1024,2017 Volkswagen Jetta 1.8T SEL,Used,"23,322 mi.",15000,Red,Black,Automatic,Sedan,2017-01-01,3.46,Volkswagen,Jetta,SEL
1025,2014 Chevrolet Cruze 1LT,Used,"80,000 mi.",7195,Black,Black,Automatic,Hatchback,2014-01-01,6.46,Chevrolet,Cruze,1LT
1026,2015 Chrysler 200 S,Used,"65,391 mi.",10775,Silver,Black,Automatic,Sedan,2015-01-01,5.46,Chrysler,200,S
1027,2016 Dodge Grand Caravan SXT,Used,"65,177 mi.",12900,Silver,Black,Automatic,Minivan,2016-01-01,4.46,Dodge,Grand,SXT
1028,2007 Honda Accord EX-L,Used,"99,499 mi.",7990,Gold,White,Automatic,Sedan,2007-01-01,13.47,Honda,Accord,EX-L
1029,2019 Hyundai Elantra SEL,Used,"38,106 mi.",12890,Gray,Gray,Automatic,Sedan,2019-01-01,1.46,Hyundai,Elantra,SEL
1031,2011 Honda Pilot EX-L,Used,"106,595 mi.",13991,Silver,Black,Automatic,SUV,2011-01-01,9.47,Honda,Pilot,EX-L
1032,2010 Ford Transit Connect XLT,Used,"108,637 mi.",10900,White,Gray,Automatic,Passenger Van,2010-01-01,10.47,Ford,Transit,XLT
1033,2019 Kia Soul +,Used,"29,900 mi.",13260,Silver,Black,Automatic,Hatchback,2019-01-01,1.46,Kia,Soul,+
1034,2013 Nissan Altima 2.5 S,Used,"60,071 mi.",11998,Blue,Black,CVT,Coupe,2013-01-01,7.46,Nissan,Altima,S
1035,2018 Kia Optima LX,Used,"40,635 mi.",13230,White,Black,Automatic,Sedan,2018-01-01,2.46,Kia,Optima,LX
1036,2016 Ford Fusion Hybrid SE,Used,"41,641 mi.",13599,Gray,Black,CVT,Sedan,2016-01-01,4.46,Ford,Fusion,SE
1037,2010 Toyota RAV4,Used,"106,435 mi.",10800,Blue,Gray,Automatic,SUV,2010-01-01,10.47,Toyota,RAV4,RAV4
1038,2017 Toyota Camry LE,Used,"48,646 mi.",14888,Other,Other,Automatic,Sedan,2017-01-01,3.46,Toyota,Camry,LE
1039,2009 Subaru Legacy 2.5i Special Edition,Used,"119,746 mi.",5977,Black,Black,Automatic,Sedan,2009-01-01,11.47,Subaru,Legacy,Edition
1040,2016 Kia Sedona LX,Used,"69,451 mi.",14888,Other,Other,Automatic,Minivan,2016-01-01,4.46,Kia,Sedona,LX
1041,2012 Kia Sportage LX,Used,"120,905 mi.",7890,Silver,Gray,Automatic,SUV,2012-01-01,8.47,Kia,Sportage,LX
1042,2014 Chevrolet Malibu 1LS,Used,"89,958 mi.",8991,White,Black,Automatic,Sedan,2014-01-01,6.46,Chevrolet,Malibu,1LS
1043,2004 Chevrolet Venture Warner Bros. Edition,Used,"62,000 mi.",5495,White,Gray,Automatic,Minivan,2004-01-01,16.47,Chevrolet,Venture,Edition
1044,2004 Dodge Ram 2500 SLT,Used,"127,347 mi.",12995,Black,Black,Automatic,Crew Cab Pickup,2004-01-01,16.47,Dodge,Ram,SLT
1045,2013 Lincoln MKZ Base,Used,"90,088 mi.",12995,Red,Black,Automatic,Sedan,2013-01-01,7.46,Lincoln,MKZ,Base
1046,2008 smart ForTwo Passion,Used,"58,012 mi.",4995,Black,Black,Automatic,Coupe,2008-01-01,12.47,smart,ForTwo,Passion
1047,2011 Honda Civic LX,Used,"115,612 mi.",7990,Gray,Other,Automatic,Coupe,2011-01-01,9.47,Honda,Civic,LX
1048,2009 smart ForTwo Passion,Used,"76,417 mi.",6495,Black,Black,Automatic,Coupe,2009-01-01,11.47,smart,ForTwo,Passion
1049,2018 Ford Focus SE,Used,"40,221 mi.",12000,Gray,Black,Automatic,Sedan,2018-01-01,2.46,Ford,Focus,SE
1050,2015 Volkswagen Touareg V6 Sport,Used,"142,230 mi.",11995,White,Other,Automatic,SUV,2015-01-01,5.46,Volkswagen,Touareg,Sport
1051,2015 Chevrolet Equinox 1LT,Used,"91,674 mi.",11990,White,Black,Automatic,SUV,2015-01-01,5.46,Chevrolet,Equinox,1LT
1052,2019 Volkswagen Jetta 1.4T S,Volkswagen Certified,"11,528 mi.",14990,Blue,Black,Automatic,Sedan,2019-01-01,1.46,Volkswagen,Jetta,S
1053,2019 Volkswagen Jetta 1.4T S,Volkswagen Certified,"20,211 mi.",13990,Silver,Black,Automatic,Sedan,2019-01-01,1.46,Volkswagen,Jetta,S
1054,2012 Ford Fusion SEL,Used,"112,123 mi.",7990,Black,Gray,Automatic,Sedan,2012-01-01,8.47,Ford,Fusion,SEL
1055,2012 Chevrolet Cruze 2LT,Used,"99,274 mi.",8987,Black,Black,Automatic,Sedan,2012-01-01,8.47,Chevrolet,Cruze,2LT
1056,2016 Subaru Outback 2.5i Limited,Used,"129,117 mi.",13844,Gray,Black,CVT,SUV,2016-01-01,4.46,Subaru,Outback,Limited
1057,2015 Hyundai Elantra SE,Used,"44,035 mi.",10987,Gray,Black,Automatic,Sedan,2015-01-01,5.46,Hyundai,Elantra,SE
1058,2014 Chrysler Town & Country Touring,Used,"118,844 mi.",8990,Gray,Black,Automatic,Minivan,2014-01-01,6.46,Chrysler,Town,Touring
1059,2014 Mazda Mazda6 i Grand Touring,Used,"52,658 mi.",14490,Gray,Black,Automatic,Sedan,2014-01-01,6.46,Mazda,Mazda6,Touring
1060,2016 Kia Forte LX,Used,"34,743 mi.",10998,Red,Black,Automatic,Sedan,2016-01-01,4.46,Kia,Forte,LX
1061,2015 Volkswagen Passat Auto SEL Premium,Used,"24,336 mi.",13595,Blue,Black,Automatic,Sedan,2015-01-01,5.46,Volkswagen,Passat,Premium
1062,2015 Toyota Prius Three,Used,"80,455 mi.",13500,Blue,Gray,CVT,Hatchback,2015-01-01,5.46,Toyota,Prius,Three
1063,2014 Ford Transit Connect XL,Used,"126,870 mi.",9995,White,Black,Automatic,Cargo Van,2014-01-01,6.46,Ford,Transit,XL
1064,2006 Honda Civic Hybrid,Used,"113,840 mi.",5998,Gray,Blue,CVT,Sedan,2006-01-01,14.47,Honda,Civic,Hybrid
1065,2013 Volkswagen Passat 2.5 SE,Used,"66,489 mi.",9850,Gray,White,Automatic,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
1066,2013 Chevrolet Malibu 1LS,Used,"64,324 mi.",11599,Gray,Gray,Automatic,Sedan,2013-01-01,7.46,Chevrolet,Malibu,1LS
1067,2007 Lexus GX 470,Used,"139,118 mi.",12895,Blue,Gray,Automatic,SUV,2007-01-01,13.47,Lexus,GX,470
1068,2013 Volkswagen Jetta SportWagen TDI,Volkswagen Certified,"38,659 mi.",13488,Silver,Black,Automatic,Wagon,2013-01-01,7.46,Volkswagen,Jetta,TDI
1069,2006 BMW X3 3.0i,Used,"11,200 mi.",6200,Black,Brown,Automanual,SUV,2006-01-01,14.47,BMW,X3,3.0i
1070,2010 Hyundai Accent Blue,Used,"53,671 mi.",4980,White,Black,Manual,Hatchback,2010-01-01,10.47,Hyundai,Accent,Blue
1071,2017 Volkswagen Jetta 1.4T S,Used,"26,775 mi.",12488,White,Black,Automatic,Sedan,2017-01-01,3.46,Volkswagen,Jetta,S
1072,2011 Kia Optima EX Turbo,Used,"74,219 mi.",10897,Gray,Gray,Automatic,Sedan,2011-01-01,9.47,Kia,Optima,Turbo
1073,2017 Ford Focus SE,Used,"33,916 mi.",10830,Red,Black,Automatic,Sedan,2017-01-01,3.46,Ford,Focus,SE
1074,2016 Kia Optima LX,Used,"88,567 mi.",10488,Gray,Gray,Automatic,Sedan,2016-01-01,4.46,Kia,Optima,LX
1075,2016 Hyundai Elantra GT Base,Used,"20,565 mi.",12987,Black,Beige,Automatic,Hatchback,2016-01-01,4.46,Hyundai,Elantra,Base
1076,2016 Hyundai Sonata Hybrid SE,Used,"77,298 mi.",10997,Gray,Gray,Automatic,Sedan,2016-01-01,4.46,Hyundai,Sonata,SE
1077,2013 Volkswagen Beetle 2.0L TDI,Used,"62,643 mi.",12997,Brown,Other,Manual,Convertible,2013-01-01,7.46,Volkswagen,Beetle,TDI
1078,2008 Acura RDX Technology,Used,"120,000 mi.",8000,White,Beige,Automatic,SUV,2008-01-01,12.47,Acura,RDX,Technology
1079,2014 Nissan Murano SV,Used,"67,890 mi.",13234,Gray,Black,CVT,SUV,2014-01-01,6.46,Nissan,Murano,SV
1080,2008 Cadillac Escalade Base,Used,"90,000 mi.",14999,White,Black,Automatic,SUV,2008-01-01,12.47,Cadillac,Escalade,Base
1081,2013 Volkswagen Passat 2.5 SE,Used,"48,765 mi.",10750,Gray,Black,Manual,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
1082,2017 Hyundai Elantra Limited,Used,"44,800 mi.",14295,Blue,Beige,Automatic,Sedan,2017-01-01,3.46,Hyundai,Elantra,Limited
1083,2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,Volkswagen Certified,"24,137 mi.",11490,Black,Beige,Manual,Sedan,2014-01-01,6.46,Volkswagen,Passat,w/Sunroof
1084,2006 Subaru Outback 2.5XT Limited,Used,"84,002 mi.",8990,Silver,Black,Automatic,Wagon,2006-01-01,14.47,Subaru,Outback,Limited
1085,2013 Volkswagen Passat 2.0 TDI SE,Used,"80,491 mi.",7990,Red,Beige,Manual,Sedan,2013-01-01,7.46,Volkswagen,Passat,SE
1086,2014 Volkswagen Passat 2.0L TDI DSG SE w/Sunroof,Used,"53,175 mi.",10990,Black,Beige,Manual,Sedan,2014-01-01,6.46,Volkswagen,Passat,w/Sunroof
1087,2019 Volkswagen Jetta 1.4T S,Used,"31,811 mi.",14990,White,Black,Automatic,Sedan,2019-01-01,1.46,Volkswagen,Jetta,S
1088,2016 Volkswagen Jetta 1.4T SE,Used,"77,141 mi.",9990,Red,Black,Automatic,Sedan,2016-01-01,4.46,Volkswagen,Jetta,SE
1089,2012 Volkswagen Golf TDI,Used,"33,146 mi.",11990,Black,Black,Manual,Hatchback,2012-01-01,8.47,Volkswagen,Golf,TDI
1090,2014 Chevrolet Equinox LS,Used,"83,186 mi.",11990,Silver,Black,Automatic,SUV,2014-01-01,6.46,Chevrolet,Equinox,LS
1091,2016 Chevrolet Cruze Limited 2LT,Used,"82,725 mi.",9777,Silver,Black,Automatic,Sedan,2016-01-01,4.46,Chevrolet,Cruze,2LT
1092,2015 Chrysler 200 Limited,Used,"98,219 mi.",7990,White,Black,Automatic,Sedan,2015-01-01,5.46,Chrysler,200,Limited
1093,2014 Volkswagen Jetta DSG TDI w/Premium,Used,"145,291 mi.",7990,White,Beige,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Jetta,w/Premium
1094,2013 Lincoln MKX Base,Used,"68,467 mi.",14990,Black,Black,Automatic,SUV,2013-01-01,7.46,Lincoln,MKX,Base
1095,2011 Chevrolet Cruze LTZ,Used,"116,723 mi.",9998,Red,Black,Automatic,Sedan,2011-01-01,9.47,Chevrolet,Cruze,LTZ
1096,2010 Dodge Grand Caravan SE,Used,"147,152 mi.",5995,Silver,Black,Automatic,Minivan,2010-01-01,10.47,Dodge,Grand,SE
1097,2010 Toyota Prius II,Used,"70,546 mi.",11599,Silver,Gray,CVT,Hatchback,2010-01-01,10.47,Toyota,Prius,II
1098,2013 Lincoln MKX Base,Used,"68,615 mi.",14990,White,Other,Automatic,SUV,2013-01-01,7.46,Lincoln,MKX,Base
1099,2018 Nissan Altima 2.5 SV,Used,"47,818 mi.",13490,Silver,Gray,CVT,Sedan,2018-01-01,2.46,Nissan,Altima,SV
1100,2015 Ford Focus SE,Used,"79,361 mi.",7682,Black,Black,Manual,Sedan,2015-01-01,5.46,Ford,Focus,SE
1101,2008 Subaru Legacy 2.5i Special Edition,Used,"228,533 mi.",4995,Black,Black,Manual,Sedan,2008-01-01,12.47,Subaru,Legacy,Edition
1102,2006 Chevrolet TrailBlazer LT,Used,"113,520 mi.",4777,Silver,Gray,Automatic,SUV,2006-01-01,14.47,Chevrolet,TrailBlazer,LT
1103,2007 Toyota RAV4 Limited,Used,"89,314 mi.",8995,White,Gray,Automatic,SUV,2007-01-01,13.47,Toyota,RAV4,Limited
1104,2006 Chevrolet Malibu LT,Used,"160,685 mi.",3495,White,Gray,Automatic,Sedan,2006-01-01,14.47,Chevrolet,Malibu,LT
1105,2019 Volkswagen Jetta 1.4T S,Used,"19,478 mi.",14683,Blue,Black,Automatic,Sedan,2019-01-01,1.46,Volkswagen,Jetta,S
1106,2006 Pontiac Torrent,Used,"67,665 mi.",6995,White,Gray,Automatic,SUV,2006-01-01,14.47,Pontiac,Torrent,Torrent
1107,2018 Kia Optima LX,Used,"38,408 mi.",14298,Brown,Black,Automatic,Sedan,2018-01-01,2.46,Kia,Optima,LX
1108,2018 Chevrolet Cruze LT,Used,"46,263 mi.",12855,White,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Cruze,LT
1109,2018 Chevrolet Malibu LT,Used,"34,065 mi.",13995,White,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Malibu,LT
1110,2019 Kia Optima LX,Used,"27,918 mi.",14919,White,Black,Automatic,Sedan,2019-01-01,1.46,Kia,Optima,LX
1111,2019 Hyundai Veloster,Used,"26,100 mi.",14090,White,Black,Automatic,Hatchback,2019-01-01,1.46,Hyundai,Veloster,Veloster
1112,2008 Honda CR-V EX,Used,"161,519 mi.",7988,Black,Black,Automatic,SUV,2008-01-01,12.47,Honda,CR-V,EX
1113,2010 Chevrolet Equinox 2LT,Used,"125,946 mi.",8488,Gray,Black,Automatic,SUV,2010-01-01,10.47,Chevrolet,Equinox,2LT
1114,2007 Subaru Outback 2.5i,Used,"95,948 mi.",7995,Gold,Beige,Automatic,Wagon,2007-01-01,13.47,Subaru,Outback,2.5i
1115,2018 Hyundai Elantra SEL,Used,"36,275 mi.",13247,Blue,Gray,Automatic,Sedan,2018-01-01,2.46,Hyundai,Elantra,SEL
1116,2005 Hyundai Tucson GL,Used,"150,556 mi.",4988,White,Gray,Automatic,SUV,2005-01-01,15.47,Hyundai,Tucson,GL
1117,2006 Ford Five Hundred SEL,Used,"112,291 mi.",4995,Red,Gray,Automatic,Sedan,2006-01-01,14.47,Ford,Five,SEL
1118,2018 Chevrolet Malibu LT,Used,"71,060 mi.",12261,Gray,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Malibu,LT
1119,2015 Ford Fusion Titanium,Used,"72,560 mi.",13250,Black,Other,Automatic,Sedan,2015-01-01,5.46,Ford,Fusion,Titanium
1120,2010 Toyota Corolla S,Used,"87,237 mi.",8995,Other,Other,Manual,Sedan,2010-01-01,10.47,Toyota,Corolla,S
