,Name,Stocktype,Mileage_(Miles),Price,Ext_color,Int_color,Transmission,Body_style,Model_Year,Car_Age_Year,Car_Make,Car_Model,Car_Trim
2851,2005 Buick Rendezvous CX,Used,"183,280 mi.",3495,White,Gray,Automatic,SUV,2005-01-01,15.47,Buick,Rendezvous,CX
2852,2000 Toyota 4Runner SR5 Sport,Used,"212,680 mi.",11995,Green,Gray,Automatic,SUV,2000-01-01,20.47,Toyota,4Runner,Sport
2853,1988 Buick Reatta Base,Used,"142,045 mi.",3995,Red,Gray,Automatic,Coupe,1988-01-01,32.48,Buick,Reatta,Base
2854,2001 Honda Odyssey EX,Used,"241,771 mi.",1995,Silver,Gray,Automatic,Minivan,2001-01-01,19.47,Honda,Odyssey,EX
2855,2002 Ford Explorer XLT,Used,"189,000 mi.",10000,Black,Gray,Automatic,SUV,2002-01-01,18.47,Ford,Explorer,XLT
2856,2003 Ford Mustang,Used,"105,030 mi.",4995,Silver,Gray,Automatic,Coupe,2003-01-01,17.47,Ford,Mustang,Mustang
2857,2008 Toyota Sienna CE,Used,"187,101 mi.",6491,Blue,Gray,Automatic,Minivan,2008-01-01,12.47,Toyota,Sienna,CE
2858,2004 Dodge Ram 1500 ST,Used,"111,806 mi.",4477,Blue,Other,Automatic,Regular Cab Pickup,2004-01-01,16.47,Dodge,Ram,ST
2859,2002 Ford Explorer Eddie Bauer,Used,"149,000 mi.",5500,Red,Beige,Automatic,Hatchback,2002-01-01,18.47,Ford,Explorer,Bauer
2860,2019 Mitsubishi Mirage ES,Used,"14,713 mi.",10998,Red,Black,Manual,Hatchback,2019-01-01,1.46,Mitsubishi,Mirage,ES
2861,2002 Ford F-250 XLT Crew Cab Super Duty,Used,"182,000 mi.",11500,Red,Gray,Automatic,Crew Cab Pickup,2002-01-01,18.47,Ford,F-250,Duty
2862,2003 Chevrolet Impala Base,Used,"169,223 mi.",2977,Other,Other,Automatic,Sedan,2003-01-01,17.47,Chevrolet,Impala,Base
2863,2009 Jeep Grand Cherokee Laredo,Used,"134,201 mi.",8777,White,Gray,Automatic,SUV,2009-01-01,11.47,Jeep,Grand,Laredo
2864,2000 Nissan Frontier XE King Cab,Used,"198,240 mi.",4977,Silver,Other,Automatic,Extended Cab Pickup,2000-01-01,20.47,Nissan,Frontier,Cab
2865,1999 Toyota 4Runner SR5,Used,"194,401 mi.",11995,Green,Gray,Automatic,SUV,1999-01-01,21.47,Toyota,4Runner,SR5
2866,2015 Toyota Yaris L,Used,"34,516 mi.",11998,Gray,Black,Automatic,Hatchback,2015-01-01,5.46,Toyota,Yaris,L
2867,2000 Toyota 4Runner Limited,Used,"192,795 mi.",11990,Green,Beige,Automatic,SUV,2000-01-01,20.47,Toyota,4Runner,Limited
2868,1999 Ford Ranger XLT,Used,"211,714 mi.",2900,Black,Beige,Automatic,Regular Cab Pickup,1999-01-01,21.47,Ford,Ranger,XLT
2869,2009 Honda Fit Sport,Used,"76,339 mi.",10599,Silver,Black,Automatic,Hatchback,2009-01-01,11.47,Honda,Fit,Sport
2870,2003 Ford F-250 XL,Used,"219,884 mi.",6488,Red,Gray,Manual,Regular Cab Pickup,2003-01-01,17.47,Ford,F-250,XL
2871,2015 INFINITI Q60 Journey,Used,"39,500 mi.",15000,Black,Black,Automatic,Coupe,2015-01-01,5.46,INFINITI,Q60,Journey
2872,2011 Toyota Tacoma Double Cab,Used,"290,263 mi.",11995,White,Gray,Automatic,Crew Cab Pickup,2011-01-01,9.47,Toyota,Tacoma,Cab
2873,2008 Toyota Prius Base,Used,"204,301 mi.",5995,Gray,Gray,CVT,Sedan,2008-01-01,12.47,Toyota,Prius,Base
2874,1999 Toyota Corolla CE,Used,"218,461 mi.",3999,Beige,Beige,Manual,Sedan,1999-01-01,21.47,Toyota,Corolla,CE
2875,2000 BMW 323 iT,Used,"174,162 mi.",3995,White,Gray,Automatic,Wagon,2000-01-01,20.47,BMW,323,iT
2876,2001 Toyota 4Runner SR5,Used,"349,052 mi.",4477,Green,Other,Automatic,SUV,2001-01-01,19.47,Toyota,4Runner,SR5
2877,2006 Jeep Grand Cherokee Limited,Used,"200,000 mi.",6000,Red,Beige,Automatic,SUV,2006-01-01,14.47,Jeep,Grand,Limited
2878,2002 Dodge Neon Base,Used,"160,012 mi.",1495,Silver,Gray,Manual,Sedan,2002-01-01,18.47,Dodge,Neon,Base
2879,2005 Chevrolet Silverado 1500 Extended Cab,Used,"192,907 mi.",7977,Red,Other,Automatic,Extended Cab Pickup,2005-01-01,15.47,Chevrolet,Silverado,Cab
2880,2002 Toyota RAV4 Base,Used,"175,172 mi.",6988,Silver,Gray,Automatic,SUV,2002-01-01,18.47,Toyota,RAV4,Base
2881,2002 Chevrolet Silverado 1500 LS H/D Crew Cab,Used,"203,158 mi.",6977,White,Other,Automatic,Crew Cab Pickup,2002-01-01,18.47,Chevrolet,Silverado,Cab
2882,2005 GMC Sierra 2500 SLE,Used,"286,866 mi.",12977,White,Other,Automatic,Crew Cab Pickup,2005-01-01,15.47,GMC,Sierra,SLE
2883,2001 Volvo V70 XC,Used,"135,689 mi.",3888,Blue,Beige,Automatic,Wagon,2001-01-01,19.47,Volvo,V70,XC
2884,2004 Volvo XC70,Used,"180,631 mi.",3995,Red,Black,Automatic,Wagon,2004-01-01,16.47,Volvo,XC70,XC70
2885,2005 Toyota Sienna CE,Used,"178,325 mi.",3995,Gold,Beige,Automatic,Minivan,2005-01-01,15.47,Toyota,Sienna,CE
2886,1997 Toyota 4Runner SR5,Used,"220,334 mi.",8977,Other,Other,Manual,SUV,1997-01-01,23.47,Toyota,4Runner,SR5
2887,2016 Ford Fusion SE,Used,"31,835 mi.",13599,Gray,Beige,Automatic,Sedan,2016-01-01,4.46,Ford,Fusion,SE
2888,2014 RAM 1500 Tradesman,Used,"68,770 mi.",14988,White,Black,Automatic,Regular Cab Pickup,2014-01-01,6.46,RAM,1500,Tradesman
2889,2002 Subaru Impreza Outback Sport Wagon,Used,"189,926 mi.",3977,Silver,Other,Manual,Wagon,2002-01-01,18.47,Subaru,Impreza,Wagon
2890,2015 Toyota Corolla LE,Used,"33,550 mi.",13599,White,Gray,CVT,Sedan,2015-01-01,5.46,Toyota,Corolla,LE
2891,2007 Toyota 4Runner SR5 Sport,Used,"228,898 mi.",8995,Gray,Other,Automatic,SUV,2007-01-01,13.47,Toyota,4Runner,Sport
2892,2004 Subaru Impreza Outback Sport Wagon,Used,"231,559 mi.",4977,Other,Gray,Manual,Wagon,2004-01-01,16.47,Subaru,Impreza,Wagon
2893,1994 GMC Sierra 1500,Used,"150,000 mi.",2900,Red,Gray,Automatic,Regular Cab Pickup,1994-01-01,26.48,GMC,Sierra,1500
2894,2008 Honda Civic EX,Used,"198,600 mi.",4400,Black,White,Manual,Sedan,2008-01-01,12.47,Honda,Civic,EX
2895,2004 Nissan Altima 3.5 SE,Used,"195,000 mi.",2519,Black,Other,Automatic,Sedan,2004-01-01,16.47,Nissan,Altima,SE
2896,2003 Ford Explorer Sport Trac XLT,Used,"226,203 mi.",4977,Blue,Other,Automatic,Crew Cab Pickup,2003-01-01,17.47,Ford,Explorer,XLT
2897,2013 Subaru Outback 2.5i,Used,"135,313 mi.",10997,White,Beige,CVT,SUV,2013-01-01,7.46,Subaru,Outback,2.5i
2898,2014 Kia Optima LX,Used,"66,866 mi.",10978,Purple,Beige,Automatic,Sedan,2014-01-01,6.46,Kia,Optima,LX
2899,2011 Subaru Forester 2.5X Premium,Used,"66,710 mi.",9991,Silver,Gray,Automatic,SUV,2011-01-01,9.47,Subaru,Forester,Premium
2900,2008 Ford F-150 Limited SuperCrew,Used,"146,134 mi.",10991,Beige,Beige,Automatic,Crew Cab Pickup,2008-01-01,12.47,Ford,F-150,SuperCrew
2902,2006 Dodge Dakota ST,Used,"230,431 mi.",5995,White,Gray,Automatic,Extended Cab Pickup,2006-01-01,14.47,Dodge,Dakota,ST
2903,2014 Mitsubishi Outlander GT,Used,"165,198 mi.",8995,Blue,Black,Automatic,SUV,2014-01-01,6.46,Mitsubishi,Outlander,GT
2904,2010 Volkswagen Routan SE,Used,"151,539 mi.",6995,Black,Black,Automatic,Minivan,2010-01-01,10.47,Volkswagen,Routan,SE
2905,2012 Mercedes-Benz C 250 Sport,Used,"97,178 mi.",9995,Black,Black,Automatic,Sedan,2012-01-01,8.47,Mercedes-Benz,C,Sport
2906,2018 FIAT 500 Lounge,Used,"5,590 mi.",14500,White,Black,Automatic,Hatchback,2018-01-01,2.46,FIAT,500,Lounge
2907,2008 Honda Pilot EX-L,Used,"136,204 mi.",7789,Brown,Green,Automatic,SUV,2008-01-01,12.47,Honda,Pilot,EX-L
2908,2014 Volkswagen Passat 2.0L TDI DSG SEL Premium,Used,"44,977 mi.",12999,White,Black,Automatic,Sedan,2014-01-01,6.46,Volkswagen,Passat,Premium
2909,2014 Chrysler Town & Country Touring,Used,"80,810 mi.",11590,Blue,Black,Automatic,Minivan,2014-01-01,6.46,Chrysler,Town,Touring
2910,2012 Toyota RAV4 Limited,Used,"100,277 mi.",13140,Beige,Beige,Automatic,SUV,2012-01-01,8.47,Toyota,RAV4,Limited
2911,2018 FIAT 500 Lounge,Used,"3,931 mi.",14881,White,Black,Automatic,Hatchback,2018-01-01,2.46,FIAT,500,Lounge
2912,2012 Audi A3 2.0T Premium,Used,"98,177 mi.",9991,Gray,Black,Automatic,Hatchback,2012-01-01,8.47,Audi,A3,Premium
