,Name,Stocktype,Mileage (Miles),Price,Ext_color,Int_color,Transmission,Drivetrain
3132,2007 Honda Pilot EX-L,Used,"143,701 mi.","$7,988",Black,Gray,Automatic,drive
3133,2012 Toyota Tundra Grade,Used,"166,271 mi.","$13,688",White,Gray,Automatic,RWD
3134,2002 Nissan Maxima SE,Used,"200,569 mi.","$3,988",Silver,Gray,Manual,FWD
3135,2002 Jeep Grand Cherokee Overland,Used,"126,071 mi.","$5,988",Gray,Gray,Automatic,drive
3136,2001 Subaru Forester S,Used,"141,107 mi.","$7,988",Silver,Gray,Automatic,AWD
3137,2008 Honda Odyssey Touring,Used,"161,107 mi.","$7,988",White,Beige,Automatic,FWD
3138,2012 RAM 1500 ST,Used,"157,028 mi.","$12,988",Red,Gray,Automatic,drive
3139,2005 Nissan Pathfinder SE,Used,"205,281 mi.","$6,988",Gray,Gray,Automatic,drive
3140,2004 Chevrolet Silverado 2500 Work Truck H/D Crew Cab,Used,"282,572 mi.","$13,988",White,Other,Automatic,drive
3141,2010 Chevrolet Avalanche 1500 LTZ,Used,"157,426 mi.","$12,988",White,Beige,Automatic,drive
3142,2010 Volkswagen Golf 2-Door,Used,"103,365 mi.","$7,988",Gray,Gray,Manual,FWD
3143,2007 Land Rover Range Rover Sport Supercharged,Used,"192,012 mi.","$7,988",Black,Black,Automatic,drive
3144,2005 Chevrolet Silverado 2500 LS H/D Extended Cab,Used,"214,933 mi.","$11,988",Silver,Gray,Automatic,drive
3145,2011 Toyota Camry LE,Used,"133,236 mi.","$6,988",Red,Gray,Automatic,FWD
3146,2008 GMC Canyon SLE,Used,"79,200 mi.","$10,988",Black,Beige,Automatic,RWD
3147,2007 Subaru Impreza WRX Limited,Used,"121,914 mi.","$11,988",Red,Beige,Automatic,AWD
3148,2013 Ford Taurus SEL,Used,"134,063 mi.","$9,988",White,Black,Automatic,AWD
3149,2007 Toyota Tacoma PreRunner Access Cab,Used,"172,872 mi.","$9,988",Silver,Gray,Manual,RWD
3150,1996 Toyota Corolla DX,Used,"195,371 mi.","$2,988",Green,Beige,Manual,FWD
3151,2003 Chevrolet Silverado 1500 6 1/2 FT,Used,"125,146 mi.","$8,988",Gray,Beige,Automatic,drive
3152,2000 Ford Ranger,Used,"113,623 mi.","$7,988",Gold,Beige,Automatic,RWD
3153,2013 Ford Edge SEL,Used,"82,964 mi.","$14,761",Red,Black,Automatic,FWD
3154,2014 Ford Escape Titanium,Used,"96,716 mi.","$14,681",Gray,Black,Automatic,drive
3155,2014 Ford Fusion SE,Used,"65,617 mi.","$13,781",Gray,Other,Unknown,FWD
3156,1999 Nissan Frontier XE King Cab,Used,"237,557 mi.","$4,000",Red,Other,Automatic,RWD
3157,2008 Lexus RX 400h,Used,"76,120 mi.","$14,000",Gray,White,CVT,AWD
3158,2014 Nissan Juke SL,Used,"145,353 mi.","$9,500",Black,Other,CVT,AWD
3159,2012 Ford Escape Limited,Used,"97,314 mi.","$10,750",White,Other,Automatic,drive
3160,2008 Honda Civic Hybrid,Used,"111,785 mi.","$6,600",Gray,Other,CVT,FWD
3161,2012 Volkswagen Beetle 2.5L,Used,"78,737 mi.","$8,150",Gray,Other,Automatic,FWD
3162,2015 Ford Focus SE,Used,"95,637 mi.","$8,000",White,Other,Automatic,FWD
3163,2002 Honda Accord VP,Used,"161,537 mi.","$3,950",Other,Other,Automatic,FWD
3164,2004 Ford Ranger XL,Used,-- mi.,"$7,995",Gray,Beige,Automatic,drive
3165,2000 Chevrolet Astro,Used,-- mi.,"$4,995",Other,Other,Automatic,AWD
3166,1994 Ford F-150 S,Used,-- mi.,"$4,995",Gold,Beige,Manual,RWD
3167,2009 Nissan Versa 1.6,Used,-- mi.,"$3,950",Black,Black,Manual,FWD
3168,2006 Nissan Titan LE Crew Cab,Used,"92,016 mi.","$12,990",White,Other,Automatic,RWD
3169,2011 Subaru Impreza Outback Sport Outback Sport,Used,"90,882 mi.","$10,990",Black,Beige,Manual,AWD
